Name,Ingredients,Station,Location,Meal Type,Item ID,DiningHall
Cheese Grits,"Ingredients: Water, Shredded Cheddar Cheese (pasteurized milk, cheese culture, salt, enzymes and annatto [if colored]. potato starch and powdered cellulose added to prevent caking), Hominy Grits (degerminated white corn grits, niacinamide*, reduced iron, thiamin mononitrate*, riboflavin*, folic acid*.*one of the b vitamins), Scallion, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Tabasco Hot Sauce (distilled vinegar, red pepper, salt), Ground Black Pepper, Granulated Garlic (garlic powder)",Grill,Grill,breakfast,11,West
Veggie Quesadilla,"Ingredients: Sour Cream (cultured milk and cream, modified corn starch, guar gum, sodium citrate, carrageenan, locust bean gum, enzymes), Shredded Cheddar Cheese (pasteurized milk, cheese culture, salt, enzymes and annatto [if colored]. potato starch and powdered cellulose added to prevent caking), Fresh Tomatoes, Fresh Bell Pepper, Fresh Yellow Onion, Fresh Bell Pepper, Fresh Jalapeno Pepper, Fresh Yellow Onion, Fresh Jalapeno Pepper, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), ""SEASONING SOUTHWEST"" (ingredient details unavailable at this time), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Cilantro, 10"" Flour Tortilla (enriched bleached flour [flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, vegetable shortening [interesterified and hydrogenated soybean oils], contains 2% or less of: salt, baking soda, sodium acid pyrophosphate, distilled monoglycerides, enzymes, cellulose gum, fumaric acid, and calcium propionate and sorbic acid [to maintain freshness])",Grill,Grill,lunch,49,West
Grilled Herbed Orange Chicken,"Ingredients: Halal Chicken Breast (boneless skinless chicken breasts with rib meat), Orange Juice (100% orange juice from concentrate contains pure filtered water, premium concentrated orange juice, ascorbic acid [vitamin c]**. **ingredient not found in regular orange juice from concentrate), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Garlic, Ground Black Pepper, Whole Thyme Leaves, Dried Basil Leaves",Grill,Grill,lunch,50,West
Cheeseburger,"Ingredients: Plain Hamburger Bun (unbleached, unbromated enriched wheat flour [malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin and folic acid], water, yeast, sugar, contains 2% or less of the following: salt, soybean oil, wheat gluten, annatto extract & turmeric extract, calcium propionate, ascorbic acid, guar gum, enzymes, monoglyerides [SESAME SEEDS USED INSIDE BAKERY]), Low-Sodium Yellow American Cheese (american cheese (milk, cheese culture, salt, enzymes), water, cream, potassium citrate, sodium citrate, sorbic acid as a preservative, color added, sunflower lecithin (release agent).), Ground Beef Patty (boneless beef)",Grill,Grill,lunch,51,West
Turkey Burger Patty,"Ingredients: Turkey Burger Patty (white turkey, turkey skin, contains 2% or less of sugar, salt, natural flavorings, garlic, onion)",Grill,Grill,lunch,52,West
Beef Hot Dog,"Ingredients: Hot Dog (beef, water, contains 2% or less of salt, spices, dextrose, potassium lactate, sorbitol, sodium phosphates, paprika, extractives of paprika, sodium erythorbate, [natural] flavorings, sodium diacetate, ascorbic acid [vitamin c], sodium nitrite)",Grill,Grill,lunch,53,West
Chicken Tandoori,"Ingredients: Non-Fat Plain Greek Yogurt (cultured grade a non fat milk), Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Tomato Paste (vine ripened fresh tomatoes, citric acid), Ground Turmeric, Curry Powder (coriander, fenugreek, turmeric, cumin, black pepper, bay leaves, celery seed, nutmeg, clove, onion, ginger and red pepper), Ground Black Pepper, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Cumin, Ground Cloves, Ground Cinnamon, 8 Cut Chicken (8 piece cut chicken [trimmed of leaf fat and tail])",Grill,Grill,dinner,127,West
Cheeseburger,"Ingredients: Plain Hamburger Bun (unbleached, unbromated enriched wheat flour [malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin and folic acid], water, yeast, sugar, contains 2% or less of the following: salt, soybean oil, wheat gluten, annatto extract & turmeric extract, calcium propionate, ascorbic acid, guar gum, enzymes, monoglyerides [SESAME SEEDS USED INSIDE BAKERY]), Low-Sodium Yellow American Cheese (american cheese (milk, cheese culture, salt, enzymes), water, cream, potassium citrate, sodium citrate, sorbic acid as a preservative, color added, sunflower lecithin (release agent).), Ground Beef Patty (boneless beef)",Grill,Grill,dinner,128,West
Turkey Burger Patty,"Ingredients: Turkey Burger Patty (white turkey, turkey skin, contains 2% or less of sugar, salt, natural flavorings, garlic, onion)",Grill,Grill,dinner,129,West
Beef Hot Dog,"Ingredients: Hot Dog (beef, water, contains 2% or less of salt, spices, dextrose, potassium lactate, sorbitol, sodium phosphates, paprika, extractives of paprika, sodium erythorbate, [natural] flavorings, sodium diacetate, ascorbic acid [vitamin c], sodium nitrite)",Grill,Grill,dinner,130,West
Mediterranean Topped Hummus,"Ingredients: Fresh Tomatoes, Pitted Kalamata Olives (kalamata olives, water, salt, wine vinegar, acetic acid, extra virgin olive oil), Crumbled Feta Cheese (feta cheese [cultured pasteurized milk, salt, enzymes], powdered cellulose [to prevent caking], natamycin [a natural mold inhibitor]), Low Sodium Garbanzo Beans (prepared chick peas, water, salt, calcium chloride [firming agent], disodium edta [promotes color retention]), Sour Cream (cultured milk and cream, modified corn starch, guar gum, sodium citrate, carrageenan, locust bean gum, enzymes), Non-Fat Plain Greek Yogurt (cultured grade a non fat milk), Water, Fresh Cucumber, Fresh Tomatoes, Bulgur Wheat, Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), 100% Pure Tahini (sesame seeds), Fresh Parsley, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Scallion, Fresh Mint Leaves, Fresh Dill, Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, Whole-Grain Sandwich Flatbread (whole wheat flour, enriched unbleached wheat flour [wheat flour, malted barley flour, ascorbic acid added as a dough conditioner, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, soybean oil, yeast, contains less than 2% of the following: sugar, nonfat dry milk, wheat gluten, salt, leavening [sodium acid pyrophosphate, baking soda, monocalcium phosphate], sodium stearoyl lactylate, guar gum)",International, International,lunch,60,West
Pita Bread,"Ingredients: 7"" Pita Bread (enriched wheat flour [wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate [b1], riboflavin [b2], folic acid], water, soybean oil and/or canola oil, whole wheat flour, contains 2% or less of: yeast, salt, sugar, dough conditioner [calcium sulfate, guar gum, mono- and diglycerides, enzymes], baking powder [sodium acid pyrophosphate, sodium bicarbonate, monocalcium phosphate], nonfat dry milk, calcium propionate and potassium sorbate, calcium acetate [preservatives], yeast nutrients [ammonium sulfate, ascorbic acid])",International, International,lunch,61,West
Greek Salad,"Ingredients: Fresh Lettuce, Lite Italian Dressing (water, distilled vinegar, vegetable oil [soybean and/or canola], sugar, apple cider vinegar, contains less than 2% of salt, xanthan gum, garlic*, onion*, natural flavor, maltodextrin, propylene glycol alginate, disodium inosinate and disodium guanylate, sodium benzoate and sorbic acid [preservatives], red bell pepper*, spice, autolyzed yeast extract, calcium disodium edta [to protect flavor], caramel color, yellow 5, yellow 6. *dried), Fresh Tomatoes, Fresh Bell Pepper, Fresh Cucumber, Pitted Kalamata Olives (kalamata olives, water, salt, wine vinegar, acetic acid, extra virgin olive oil), Crumbled Feta Cheese (feta cheese [cultured pasteurized milk, salt, enzymes], powdered cellulose [to prevent caking], natamycin [a natural mold inhibitor]), Fresh Red Onion, Sliced Banana Peppers (banana peppers, water, salt, acetic acid, citric acid, calcium chloride, preservatives [sodium benzoate, sodium bisulfite], capsicum oleoresin, yellow 5)",International, International,lunch,62,West
Mediterranean Topped Hummus,"Ingredients: Fresh Tomatoes, Pitted Kalamata Olives (kalamata olives, water, salt, wine vinegar, acetic acid, extra virgin olive oil), Crumbled Feta Cheese (feta cheese [cultured pasteurized milk, salt, enzymes], powdered cellulose [to prevent caking], natamycin [a natural mold inhibitor]), Low Sodium Garbanzo Beans (prepared chick peas, water, salt, calcium chloride [firming agent], disodium edta [promotes color retention]), Sour Cream (cultured milk and cream, modified corn starch, guar gum, sodium citrate, carrageenan, locust bean gum, enzymes), Non-Fat Plain Greek Yogurt (cultured grade a non fat milk), Water, Fresh Cucumber, Fresh Tomatoes, Bulgur Wheat, Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), 100% Pure Tahini (sesame seeds), Fresh Parsley, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Scallion, Fresh Mint Leaves, Fresh Dill, Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, Whole-Grain Sandwich Flatbread (whole wheat flour, enriched unbleached wheat flour [wheat flour, malted barley flour, ascorbic acid added as a dough conditioner, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], water, soybean oil, yeast, contains less than 2% of the following: sugar, nonfat dry milk, wheat gluten, salt, leavening [sodium acid pyrophosphate, baking soda, monocalcium phosphate], sodium stearoyl lactylate, guar gum)",International, International,dinner,137,West
Pita Bread,"Ingredients: 7"" Pita Bread (enriched wheat flour [wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate [b1], riboflavin [b2], folic acid], water, soybean oil and/or canola oil, whole wheat flour, contains 2% or less of: yeast, salt, sugar, dough conditioner [calcium sulfate, guar gum, mono- and diglycerides, enzymes], baking powder [sodium acid pyrophosphate, sodium bicarbonate, monocalcium phosphate], nonfat dry milk, calcium propionate and potassium sorbate, calcium acetate [preservatives], yeast nutrients [ammonium sulfate, ascorbic acid])",International, International,dinner,138,West
Greek Salad,"Ingredients: Fresh Lettuce, Lite Italian Dressing (water, distilled vinegar, vegetable oil [soybean and/or canola], sugar, apple cider vinegar, contains less than 2% of salt, xanthan gum, garlic*, onion*, natural flavor, maltodextrin, propylene glycol alginate, disodium inosinate and disodium guanylate, sodium benzoate and sorbic acid [preservatives], red bell pepper*, spice, autolyzed yeast extract, calcium disodium edta [to protect flavor], caramel color, yellow 5, yellow 6. *dried), Fresh Tomatoes, Fresh Bell Pepper, Fresh Cucumber, Pitted Kalamata Olives (kalamata olives, water, salt, wine vinegar, acetic acid, extra virgin olive oil), Crumbled Feta Cheese (feta cheese [cultured pasteurized milk, salt, enzymes], powdered cellulose [to prevent caking], natamycin [a natural mold inhibitor]), Fresh Red Onion, Sliced Banana Peppers (banana peppers, water, salt, acetic acid, citric acid, calcium chloride, preservatives [sodium benzoate, sodium bisulfite], capsicum oleoresin, yellow 5)",International, International,dinner,139,West
French Toast Bar,"Ingredients: Liquid Whole Eggs (whole eggs, citric acid, 0.15% water added as carrier for citric acid. citric acid added to preserve color), 2% Milk (reduced fat milk, vitamin a palmitate and vitamin d3), Sliced Unsweetened Strawberries, Granulated Sugar, Frozen Blueberries, Imitation Vanilla Extract  (water, vanillin, caramel color, ethyl vanillin and 0.1% potassium sorbate [added as a preservative]), Ground Cinnamon, Ground Nutmeg, Sliced Texas Toast (unbleached, unbromated enriched wheat flour [malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin and folic acid], water, yeast, sugar, contains 2% or less of the following: salt, soybean oil, wheat gluten, sodium alginate, annatto extract & turmeric extract, calcium propionate, ascorbic acid, canola oil, guar gum, sunflower lecithin, wheat protein isolate, enzymes, monoglyerides [SESAME SEEDS USED INSIDE BAKERY])",Mediterranean,Mediterranean ,breakfast,2,West
Cinnamon Raisin Brioche French Toast,"Ingredients: Liquid Whole Eggs (whole eggs, citric acid, 0.15% water added as carrier for citric acid. citric acid added to preserve color), Whole Milk (milk and vitamin d3), Light Brown Sugar (brown sugar [when produced at chalmette or crockett facilities] sugar, molasses [when produced at south bay facility]), Whipped Topping (water, high fructose corn syrup, hydrogenated vegetable oil [palm, palm kernel, coconut and/or cottonseed], contains less than 2% of the following: sodium caseinate [a milk derivative], dextrose, artificial flavor, polysorbate 60, sorbitan monostearate, guar gum, xanthan gum, colored with turmeric and annatto extracts), Imitation Vanilla Extract  (water, vanillin, caramel color, ethyl vanillin and 0.1% potassium sorbate [added as a preservative]), Ground Cinnamon, Orange Zest Puree (chopped orange peels, cane sugar and natural orange flavor), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Nutmeg, Confectioner Sugar (sugar, corn starch), Sliced Texas Toast (unbleached, unbromated enriched wheat flour [malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin and folic acid], water, yeast, sugar, contains 2% or less of the following: salt, soybean oil, wheat gluten, sodium alginate, annatto extract & turmeric extract, calcium propionate, ascorbic acid, canola oil, guar gum, sunflower lecithin, wheat protein isolate, enzymes, monoglyerides [SESAME SEEDS USED INSIDE BAKERY])",Mediterranean,Mediterranean ,breakfast,3,West
Berry Compote,"Ingredients: Sliced Unsweetened Strawberries, Frozen Blueberries, Frozen Raspberries, Pure Clover Honey, Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), Corn Starch, Ground Cinnamon, Ground Nutmeg",Mediterranean,Mediterranean ,breakfast,4,West
Compote Strawberry,"Ingredients: Sliced Unsweetened Strawberries, Water, Orange Juice (100% orange juice from concentrate contains pure filtered water, premium concentrated orange juice, ascorbic acid [vitamin c]**. **ingredient not found in regular orange juice from concentrate), Pure Clover Honey, Smart Balance Margarine PC (vegetable oil blend [soybean oil, palm oil and palm kernel oil], water, contains 2% or less of: salt, mono and diglycerides, sodium benzoate, lactic acid and calcium disodium edta [preservatives], soy lecithin [soy], natural flavor, beta carotene [color], vitamin a palmitate added), Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), Corn Starch, Ground Cloves",Mediterranean,Mediterranean ,breakfast,5,West
Apple Ginger Compote,"Ingredients: Fresh Apple, Light Brown Sugar (brown sugar [when produced at chalmette or crockett facilities] sugar, molasses [when produced at south bay facility]), Water, Fresh Gingerroot",Mediterranean,Mediterranean ,breakfast,6,West
Whipped Cream,"Ingredients: Vegan Whipped Topping (water, high fructose corn syrup, hydrogenated vegetable oil [palm, palm kernel, coconut and/or cottonseed], contains less than 2% of the following: carbohydrate gum, sugar, polysorbate 60, polyglycerol esters of fatty acids, salt, sodium alginate, soy lecithin, artificial flavor, sodium citrate, natural flavor, colored with turmeric and annatto extracts), Confectioner Sugar (sugar, corn starch), Imitation Vanilla Extract  (water, vanillin, caramel color, ethyl vanillin and 0.1% potassium sorbate [added as a preservative])",Mediterranean,Mediterranean ,breakfast,7,West
Chocolate Glaze,"Ingredients: Confectioner Sugar (sugar, corn starch), Water, Cocoa Powder (cocoa), Imitation Vanilla Extract  (water, vanillin, caramel color, ethyl vanillin and 0.1% potassium sorbate [added as a preservative])",Mediterranean,Mediterranean ,breakfast,8,West
Pesto Cavatappi & Vegetables,"Ingredients: Semolina Flour (semolina [milled from durum wheat], niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid), Water, Fresh Bell Pepper, Fresh Bell Pepper, Fresh Zucchini, Basil Pesto (basil, fresh cilantro, olive oil, canola oil, imported romano and parmesan cheese [pasteurized part skim cows milk sheep milk, cheese cultures, enzymes, salt], fresh garlic, granulated garlic, jalapeno pepper, water, black pepper), Fresh Yellow Onion, Shredded Asiago Cheese (asiago cheese [cultured pasteurized milk, salt, enzymes], cheese cultures, anti-caking blend [potato starch, powdered cellulose]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Crushed Red Pepper Flakes",Mediterranean,Mediterranean ,lunch,44,West
Turkey Chop Suey,"Ingredients: Ground Turkey, Fresh Mushrooms, Fresh Celery, Fresh Yellow Onion, Fresh Bell Pepper, Water, Corn Starch, Light Soy Sauce (water, soybeans, wheat, salt, lactic acid, sodium benzoate: less than 1/10 of 1% as a preservative), Smart Balance Margarine (oil blend [palm, soybean, canola, and olive oil], water, contains less than 2% of salt, enzyme-modified soybean lecithin, natural & artificial flavor, potassium sorbate and calcium disodium edta [to preserve freshness], lactic acid, vitamin a palmitate, beta-carotene color), Low-Sodium Gluten-Free Chicken Base (chicken meat, salt, chicken broth, chicken fat, sugar, canola oil, corn starch, 2% or less of natural flavors, potato starch, turmeric [color]), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Mediterranean,Mediterranean ,dinner,122,West
Create Your Own Omelet Station,"Ingredients: Liquid Whole Eggs (whole eggs, citric acid, 0.15% water added as carrier for citric acid. citric acid added to preserve color)",Saute,Saute ,breakfast,13,West
Diced Bacon,"Ingredients: 14/18 Bacon Slices (pork, cured with water, sea salt, sugar, sodium phosphate, sodium erythorbate, sodium nitrite, contains less than 2% of the following: cane sugar, celery powder)",Saute,Saute ,breakfast,14,West
Diced Breakfast Ham,"Ingredients: Diced Ham (pork cured with: water, salt, dextrose, modified food starch, potassium lactate, sodium phosphate, sodium erythorbate, sodium diacetate, natural smoke flavoring, sodium nitrite [MAY CONTAIN SODIUM ASCORBATE])",Saute,Saute ,breakfast,15,West
Diced Onions,Ingredients: Fresh Yellow Onion,Saute,Saute ,breakfast,16,West
Diced Green Peppers,Ingredients: Fresh Bell Pepper,Saute,Saute ,breakfast,17,West
Sauteed Mushrooms,"Ingredients: Fresh Mushrooms, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Saute,Saute ,breakfast,18,West
Diced Tomatoes,Ingredients: Fresh Tomatoes,Saute,Saute ,breakfast,19,West
Tofu,"Ingredients: Extra Firm Tofu (water, organic soybeans, less than 2% of magnesium chloride, calcium sulfate)",Saute,Saute ,breakfast,20,West
Shredded Cheddar Cheese,"Ingredients: Shredded Cheddar Cheese (pasteurized milk, cheese culture, salt, enzymes and annatto [if colored]. potato starch and powdered cellulose added to prevent caking)",Saute,Saute ,breakfast,21,West
Egg Whites,"Ingredients: Liquid Egg Whites (egg whites, guar gum, and triethyl citrate)",Saute,Saute ,breakfast,22,West
Fried Egg,"Ingredients: Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Large Whole Eggs",Saute,Saute ,breakfast,23,West
Create Your Own Stir Fry Station,Ingredients: Water,Saute,Saute ,lunch,81,West
