Name,Ingredients,Station,Location,Meal Type,Item ID,DiningHall
Haitian Mac And Cheese 100,"Ingredients: Heavy Whipping Cream (heavy cream, milk, contains less than 0.5% of: carrageenan, mono and diglycerides, polysorbate 80), ""DNU - PASTA DRY ELBOW MACARONI"" (ingredient details unavailable at this time), Unsalted Butter (pasteurized cream (milk), natural flavorings), All Purpose Flour (bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Evaporated Milk (milk, contains 0.5% or less of: dipotassium phosphate, carrageenan, vitamin d3), Shredded Cheddar Cheese (pasteurized milk, cheese culture, salt, enzymes and annatto [if colored]. potato starch and powdered cellulose added to prevent caking), Fresh Red Onion, Fresh Bell Pepper, Fresh Bell Pepper, Deli Ham (ham cured with water, dextrose, contains 2% or less of: salt, potassium lactate, sodium phosphates, sodium diacetate, sodium erythorbate, sodium nitrite), Shredded Asiago Cheese (asiago cheese [cultured pasteurized milk, salt, enzymes], cheese cultures, anti-caking blend [potato starch, powdered cellulose]), Unsalted Butter (pasteurized cream (milk), natural flavorings), Tabasco Hot Sauce (distilled vinegar, red pepper, salt), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, Onion Powder, Granulated Garlic (garlic powder), Fresh Jalapeno Pepper",Concept Kitchen,Concept Kitchen,lunch,42,Marciano
Griot Pork ,"Ingredients: Water, Pork Shoulder and Butt, Fresh Yellow Onion, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), Orange Juice (100% orange juice from concentrate contains pure filtered water, premium concentrated orange juice, ascorbic acid [vitamin c]**. **ingredient not found in regular orange juice from concentrate), Apple Cider Vinegar (apple cider vinegar,  distilled vinegar from grain, natural flavor with caramel color, diluted with water to a uniform pickling and table strength of 5% [50 grains] acidity), Fresh Garlic, Fresh Bell Pepper, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Celery, Fresh Thyme, Fresh Parsley, Habanero Chili Pepper, Whole Cloves, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, Scallion",Concept Kitchen,Concept Kitchen,lunch,43,Marciano
Creole Chicken ,"Ingredients: Fresh Green Beans, Fresh Celery, Fresh Parsley, Fresh Cilantro, Fresh Bell Pepper, Fresh Bell Pepper, White Vinegar (distilled white vinegar diluted with water to 5% [50 grains] acidity), Fresh Yellow Onion, Habanero Chili Pepper, Fresh Garlic, Water, White Rice (long grain rice enriched with iron [ferric orthophosphate], niacin, thiamin [thiamin mononitrate] and folic acid), Dark Red Kidney Beans (prepared dark kidney beans, water, salt, sugar, dextrose, calcium chloride [firming agent], and disodium edta [to promote color retention]), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Extra Virgin Olive Oil, Fresh Yellow Onion, Fresh Bell Pepper, Ground Paprika (paprika and silicon dioxide [added to make free flowing]), Fresh Garlic, Low-Sodium Gluten-Free Vegetable Base (sauteed vegetable puree mix [carrots, onions, celery], salt, sugar, maltodextrin, corn oil, 2% or less of yeast extract, water, potato starch, xanthan gum, natural flavors, carrot juice concentrate), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, Fresh Lime, Whole Fresh Chicken (whole young broiler chicken without neck and giblets)",Concept Kitchen,Concept Kitchen,lunch,44,Marciano
Haitian Legume,"Ingredients: Water, White Basmati Rice, Top Round (beef), Eggplant, Fresh Cabbage, Fresh Yellow Onion, Fresh Carrot, Chayote, Crushed Tomatoes (vine ripened tomatoes, tomato puree, sea salt and citric acid), Low-Sodium Gluten-Free Beef Base (roasted beef and beef stock, salt, natural flavors, sugar, tomato paste, 2% or less of potato starch, autolyzed yeast extract, canola oil, beef fat), Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Fresh Watercress, Fresh Spinach, Canola Oil, Cajun Seasoning (garlic, spices [including paprika, oregano, red pepper], salt, and onion), Fresh Parsley, Caribbean Jerk Seasoning (water, salt, black pepper, allspice, cane vinegar, raw cane sugar, approved spices [including red pepper], scallions, tomato paste, hot peppers, thyme, dextrose, caramel color, chives, citric acid, and sulfiting agents), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Whole Thyme Leaves",Concept Kitchen,Concept Kitchen,lunch,45,Marciano
Citrus And Habanero Grilled Poule (Haitian Chicken),"Ingredients: Halal Chicken Thigh ((boneless skinless thigh meat)), Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Orange Juice (100% orange juice from concentrate contains pure filtered water, premium concentrated orange juice, ascorbic acid [vitamin c]**. **ingredient not found in regular orange juice from concentrate), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Scallion, Light Brown Sugar (brown sugar [when produced at chalmette or crockett facilities] sugar, molasses [when produced at south bay facility]), Fresh Garlic, Ground Allspice, Fresh Thyme, Fresh Rosemary, Ground Black Pepper",Concept Kitchen,Concept Kitchen,lunch,46,Marciano
Creole Chicken Okra Soup,"Ingredients: Halal Chicken Leg Quarter (chicken leg quarters), Water, Fresh Bell Pepper, Frozen Okra, Fresh Yellow Onion, Habanero Chili Pepper, Tomato Paste (vine ripened fresh tomatoes, citric acid), Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Fresh Parsley, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Low-Sodium Gluten-Free Chicken Base (chicken meat, salt, chicken broth, chicken fat, sugar, canola oil, corn starch, 2% or less of natural flavors, potato starch, turmeric [color]), Fresh Garlic, Ground Black Pepper, Whole Thyme Leaves, Dried Bay Leaves",Concept Kitchen,Concept Kitchen,lunch,47,Marciano
Haitian  Poached Fish ,"Ingredients: Fresh Pollock Fillet (pollock), Fresh Yellow Onion, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Garlic, Fresh Shallot, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, Fresh Parsley, White Wine Vinegar (white wine vinegar, potassium metabisulfite [preservative], diluted with water to 5% acidity), Fresh Serrano Peppers, Fresh Thyme",Concept Kitchen,Concept Kitchen,lunch,48,Marciano
Haitian Shrimp Legume,"Ingredients: Water, White Basmati Rice, Cooked Shrimp (shrimp, water, salt and sodium tripolyphosphate [to retain moisture]), Eggplant, Fresh Cabbage, Fresh Yellow Onion, Fresh Carrot, Chayote, Crushed Tomatoes (vine ripened tomatoes, tomato puree, sea salt and citric acid), Low-Sodium Gluten-Free Beef Base (roasted beef and beef stock, salt, natural flavors, sugar, tomato paste, 2% or less of potato starch, autolyzed yeast extract, canola oil, beef fat), Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Fresh Watercress, Fresh Spinach, Canola Oil, Cajun Seasoning (garlic, spices [including paprika, oregano, red pepper], salt, and onion), Fresh Parsley, Caribbean Jerk Seasoning (water, salt, black pepper, allspice, cane vinegar, raw cane sugar, approved spices [including red pepper], scallions, tomato paste, hot peppers, thyme, dextrose, caramel color, chives, citric acid, and sulfiting agents), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Whole Thyme Leaves",Concept Kitchen,Concept Kitchen,lunch,49,Marciano
Vegan Haitian Stew  ,"Ingredients: Water, Tomato Paste (vine ripened fresh tomatoes, citric acid), Chunky Diced Tomatoes (vine ripened tomatoes, tomato juice, sea salt, calcium chloride, citric acid), Diced Potato Cubes in Water, Fresh Carrot, Fresh Yellow Onion, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Celery, Low-Sodium Gluten-Free Vegetable Base (sauteed vegetable puree mix [carrots, onions, celery], salt, sugar, maltodextrin, corn oil, 2% or less of yeast extract, water, potato starch, xanthan gum, natural flavors, carrot juice concentrate), Fresh Garlic, Dried Bay Leaves",Concept Kitchen,Concept Kitchen,lunch,50,Marciano
 Legim,"Ingredients: Water, White Basmati Rice, Eggplant, Fresh Cabbage, Fresh Yellow Onion, Fresh Carrot, Chayote, Crushed Tomatoes (vine ripened tomatoes, tomato puree, sea salt and citric acid), Low-Sodium Gluten-Free Vegetable Base (sauteed vegetable puree mix [carrots, onions, celery], salt, sugar, maltodextrin, corn oil, 2% or less of yeast extract, water, potato starch, xanthan gum, natural flavors, carrot juice concentrate), Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Fresh Watercress, Fresh Spinach, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Cajun Seasoning (garlic, spices [including paprika, oregano, red pepper], salt, and onion), Fresh Parsley, Caribbean Jerk Seasoning (water, salt, black pepper, allspice, cane vinegar, raw cane sugar, approved spices [including red pepper], scallions, tomato paste, hot peppers, thyme, dextrose, caramel color, chives, citric acid, and sulfiting agents), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Whole Thyme Leaves",Concept Kitchen,Concept Kitchen,lunch,51,Marciano
100 Russian Potato Salad,"Ingredients: Red Potato, Fresh Carrot, Frozen Green Peas, Red Beet, Mayonnaise (soybean oil, distilled vinegar, egg yolk, high fructose corn syrup, contains less than 2% of salt, water, mustard seed, calcium sodium edta [to protect flavor]), Scallion, Fresh Parsley, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, Ground Paprika (paprika and silicon dioxide [added to make free flowing])",Concept Kitchen,Concept Kitchen,lunch,52,Marciano
French Style Salad,"Ingredients: Fresh Lettuce, Fresh Cucumber, Fresh Tomatoes, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Red Wine Vinegar (red wine vinegar, potassium metabisulfite [a preservative], diluted with water to 5% acidity), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene)",Concept Kitchen,Concept Kitchen,lunch,53,Marciano
Cucumber And Sweet Bell Pepper Salad ,"Ingredients: Fresh Lettuce, Fresh Bell Pepper, Fresh Bell Pepper, Fresh Cucumber, Dijon Mustard (distilled white vinegar, water, mustard seed, salt, white wine, fruit pectin, citric acid, tartaric acid, sugar, spices), Red Wine Vinegar (red wine vinegar, potassium metabisulfite [a preservative], diluted with water to 5% acidity), Extra Virgin Olive Oil, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Concept Kitchen,Concept Kitchen,lunch,54,Marciano
Marinated Tomato Salad,"Ingredients: Bulgur Wheat, Fresh Kale, Fresh Tomatoes, Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), ""VINEGAR CHAMPAGNE"" (ingredient details unavailable at this time), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Concept Kitchen,Concept Kitchen,lunch,55,Marciano
Carrot Raisin Salad,"Ingredients: Pineapple Tidbits in Juice (pineapple, pineapple juice, citric acid), Fresh Carrot, Non-Fat Plain Greek Yogurt (cultured grade a non fat milk), Dark Seedless Raisins, Fresh Celery, Pure Clover Honey",Concept Kitchen,Concept Kitchen,lunch,56,Marciano
Spicy Fruit Salad,"Ingredients: Fresh Cantaloupe, Fresh Cucumber, Fresh Mango, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), ""SEASONING CHILI LIME RUB - COOKED"" (ingredient details unavailable at this time), Dark Chili Powder (chili pepper, spices, salt, silicon dioxide [to make free flowing] and garlic)",Concept Kitchen,Concept Kitchen,lunch,57,Marciano
Spicy Mango Salad,"Ingredients: Fresh Mango, Fresh Red Onion, Fresh Bell Pepper, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Scallion, Ground Turmeric, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Crushed Red Pepper Flakes, Cayenne Pepper (red pepper)",Concept Kitchen,Concept Kitchen,lunch,58,Marciano
Blended Spice,"Ingredients: Fresh Yellow Onion, Scallion, Scallion, Fresh Parsley, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Low-Sodium Gluten-Free Vegetable Base (sauteed vegetable puree mix [carrots, onions, celery], salt, sugar, maltodextrin, corn oil, 2% or less of yeast extract, water, potato starch, xanthan gum, natural flavors, carrot juice concentrate), White Vinegar (distilled white vinegar diluted with water to 5% [50 grains] acidity), Fresh Garlic, Ground Black Pepper, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Bell Pepper, Fresh Bell Pepper",Concept Kitchen,Concept Kitchen,lunch,59,Marciano
Grits With Spinach ,"Ingredients: Water, Hominy Grits (degerminated white corn grits, niacinamide*, reduced iron, thiamin mononitrate*, riboflavin*, folic acid*.*one of the b vitamins), Fresh Spinach, Fresh Yellow Onion, Fresh Tomatoes, Low-Sodium Gluten-Free Vegetable Base (sauteed vegetable puree mix [carrots, onions, celery], salt, sugar, maltodextrin, corn oil, 2% or less of yeast extract, water, potato starch, xanthan gum, natural flavors, carrot juice concentrate), Tomato Paste (vine ripened fresh tomatoes, citric acid), Extra Virgin Olive Oil, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps])",Concept Kitchen,Concept Kitchen,dinner,134,Marciano
Fried Plantains,"Ingredients: Sweet Sliced Plantain, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps])",Concept Kitchen,Concept Kitchen,dinner,135,Marciano
Akra,"Ingredients: ""VEGETABLE FRESH YUCA - PEELED, CUBED"" (ingredient details unavailable at this time), Liquid Egg Whites (egg whites, guar gum, and triethyl citrate), Fresh Shallot, Garlic Powder ([garlic]), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Parsley, Onion Powder, White Pepper, Scallion",Concept Kitchen,Concept Kitchen,dinner,136,Marciano
Haitian Mac And Cheese 100,"Ingredients: Heavy Whipping Cream (heavy cream, milk, contains less than 0.5% of: carrageenan, mono and diglycerides, polysorbate 80), ""DNU - PASTA DRY ELBOW MACARONI"" (ingredient details unavailable at this time), Unsalted Butter (pasteurized cream (milk), natural flavorings), All Purpose Flour (bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid), Evaporated Milk (milk, contains 0.5% or less of: dipotassium phosphate, carrageenan, vitamin d3), Shredded Cheddar Cheese (pasteurized milk, cheese culture, salt, enzymes and annatto [if colored]. potato starch and powdered cellulose added to prevent caking), Fresh Red Onion, Fresh Bell Pepper, Fresh Bell Pepper, Deli Ham (ham cured with water, dextrose, contains 2% or less of: salt, potassium lactate, sodium phosphates, sodium diacetate, sodium erythorbate, sodium nitrite), Shredded Asiago Cheese (asiago cheese [cultured pasteurized milk, salt, enzymes], cheese cultures, anti-caking blend [potato starch, powdered cellulose]), Unsalted Butter (pasteurized cream (milk), natural flavorings), Tabasco Hot Sauce (distilled vinegar, red pepper, salt), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper, Onion Powder, Granulated Garlic (garlic powder), Fresh Jalapeno Pepper",Concept Kitchen,Concept Kitchen,dinner,137,Marciano
